group,subj_idx,induction,prime_valence,target_valence,x0,condition
normal,55763117,emotion,negative,positive,-0.4094983379337612,emotion_negative_positive
normal,55763117,emotion,positive,negative,-0.250693389897162,emotion_positive_negative
normal,55763117,emotion,positive,positive,-0.4792840383952198,emotion_positive_positive
normal,55763117,shape,negative,negative,-0.6919785203661587,shape_negative_negative
normal,55763117,shape,negative,positive,-0.0913371470226928,shape_negative_positive
normal,55763117,shape,positive,negative,-0.5435521792797052,shape_positive_negative
normal,55763117,shape,positive,positive,0.4094187757576812,shape_positive_positive
normal,55766121,emotion,negative,negative,-0.5558573775883674,emotion_negative_negative
normal,55766121,emotion,negative,positive,0.6585246081215446,emotion_negative_positive
normal,55766121,emotion,positive,negative,-0.370878695205084,emotion_positive_negative
normal,55766121,emotion,positive,positive,-0.1092028698808639,emotion_positive_positive
normal,55766121,shape,negative,negative,0.021928075954222,shape_negative_negative
normal,55766121,shape,negative,positive,-0.1647693302016093,shape_negative_positive
normal,55766121,shape,positive,negative,-0.4029163084753752,shape_positive_negative
normal,55766121,shape,positive,positive,-0.0211232758654482,shape_positive_positive
normal,55768880,emotion,negative,negative,-0.1292743459066289,emotion_negative_negative
normal,55768880,emotion,negative,positive,0.6707692259483847,emotion_negative_positive
normal,55768880,emotion,positive,negative,-0.294091791998465,emotion_positive_negative
normal,55768880,emotion,positive,positive,0.7194178805594825,emotion_positive_positive
normal,55768880,shape,negative,negative,0.0352673072311445,shape_negative_negative
normal,55768880,shape,negative,positive,-0.1483541875706229,shape_negative_positive
normal,55768880,shape,positive,negative,-0.3491950127663076,shape_positive_negative
normal,55768880,shape,positive,positive,0.6922598899575484,shape_positive_positive
normal,55774247,emotion,negative,negative,-0.3628355707223806,emotion_negative_negative
normal,55774247,emotion,negative,positive,-0.7562780809364745,emotion_negative_positive
normal,55774247,emotion,positive,negative,-0.1758229682296497,emotion_positive_negative
normal,55774247,emotion,positive,positive,0.5598826101839205,emotion_positive_positive
normal,55774247,shape,negative,negative,-0.0260606038301281,shape_negative_negative
normal,55774247,shape,negative,positive,0.1050307741460606,shape_negative_positive
normal,55774247,shape,positive,negative,0.627132306090544,shape_positive_negative
normal,55774247,shape,positive,positive,0.400705174261573,shape_positive_positive
normal,55776021,emotion,negative,negative,-0.4767377124204847,emotion_negative_negative
normal,55776021,emotion,negative,positive,0.7966248685593007,emotion_negative_positive
normal,55776021,emotion,positive,negative,-0.4773272404358044,emotion_positive_negative
normal,55776021,emotion,positive,positive,0.273082241130309,emotion_positive_positive
normal,55776021,shape,negative,negative,-0.2195576851361493,shape_negative_negative
normal,55776021,shape,negative,positive,0.382844502479113,shape_negative_positive
normal,55776021,shape,positive,negative,-0.3973752962329109,shape_positive_negative
normal,55776021,shape,positive,positive,0.4305018542990848,shape_positive_positive
normal,55777851,emotion,negative,negative,-0.2169181948952085,emotion_negative_negative
normal,55777851,emotion,negative,positive,0.3673431759879377,emotion_negative_positive
normal,55777851,emotion,positive,negative,0.7687957886779307,emotion_positive_negative
normal,55777851,emotion,positive,positive,0.7486285462834047,emotion_positive_positive
normal,55777851,shape,negative,negative,-0.4430113512347104,shape_negative_negative
normal,55777851,shape,negative,positive,0.5148144124787032,shape_negative_positive
